t,peak,dur,gyro,conf,accepted,counted,reason,peaks,speed
6,2.65,911,7.54,60,1,1,ok,2,0.74
9,2.47,2515,3.15,0,0,0,rhythmic,4,0.99
11,1.34,1412,2.99,0,0,0,atpace,2,1.39
12,2.74,1203,3.66,60,1,1,ok,2,1.01
14,2.02,1492,4.15,70,1,0,cooldown,2,0.90
15,1.75,1389,2.75,80,1,1,ok,2,1.00
17,2.68,1194,2.89,60,1,0,monotony,2,1.00
18,1.99,1094,2.38,70,1,1,ok,1,1.00
20,1.36,1292,2.32,80,1,0,monotony,2,0.91
22,1.73,1193,3.11,80,1,0,monotony,2,1.10
23,1.37,1292,2.99,80,1,0,monotony,1,0.97
26,1.35,2585,2.92,0,0,0,rhythmic,3,1.03
29,1.52,2188,2.46,80,1,0,walkctx,2,0.77
30,1.84,1293,2.82,70,1,1,ok,2,0.73
32,1.68,1693,2.68,80,1,0,cooldown,2,0.73
34,1.67,1293,2.80,80,1,1,ok,2,0.65
35,1.24,696,2.96,55,1,0,cooldown,1,0.98
36,1.66,1093,3.30,80,1,0,cooldown,2,0.55
38,2.36,1293,2.72,70,1,1,ok,2,0.76
39,1.76,1193,2.52,80,1,0,cooldown,2,0.88
42,2.24,1890,2.82,70,1,1,ok,2,0.38
44,1.80,1292,3.46,70,1,0,cooldown,2,0.93
45,1.46,1392,3.13,80,1,1,ok,2,0.72
46,1.22,599,1.57,55,1,0,cooldown,1,0.91
48,1.36,1193,3.98,80,1,0,cooldown,2,0.49
50,1.54,1392,2.73,80,1,1,ok,2,0.86
51,1.48,895,2.35,80,1,0,cooldown,1,0.77
51,1.16,597,2.56,70,1,0,cooldown,1,0.83
54,1.84,2087,3.06,0,0,0,rhythmic,3,0.60
55,1.77,1194,3.17,80,1,0,walkctx,1,0.74
57,2.00,795,2.75,60,1,1,ok,1,0.99
59,2.86,1492,5.66,60,1,0,cooldown,2,0.48
61,1.42,1192,2.91,80,1,1,ok,2,0.94
63,1.49,1591,3.55,80,1,0,cooldown,2,0.75
64,1.80,1193,2.73,70,1,1,ok,2,0.75
66,1.63,1491,1.96,80,1,0,cooldown,1,0.68
68,2.15,1393,2.74,70,1,0,monotony,2,0.90
70,1.61,1393,3.26,80,1,0,monotony,1,0.66
72,1.60,1392,5.38,80,1,1,ok,1,0.80
73,1.34,1392,2.91,80,1,0,cooldown,2,0.75
75,1.56,1598,2.24,80,1,1,ok,2,0.57
77,2.22,1393,2.58,70,1,0,cooldown,2,1.22
79,1.47,1293,2.90,80,1,0,monotony,2,0.63
80,1.47,1292,2.56,80,1,0,monotony,2,0.77
82,1.69,1491,2.59,80,1,0,monotony,1,0.65
84,1.71,1383,2.33,80,1,0,monotony,2,0.86
86,1.97,1293,2.49,70,1,0,monotony,2,0.70
87,1.88,1193,2.06,70,1,0,monotony,2,0.67
89,1.74,1492,3.45,80,1,0,monotony,1,1.00
91,2.00,1491,3.23,70,1,0,monotony,2,0.74
93,2.32,1392,3.09,70,1,0,monotony,2,0.81
94,1.29,1293,2.20,80,1,0,monotony,2,0.93
96,1.19,596,1.78,55,1,1,ok,1,0.59
97,1.64,992,2.99,80,1,0,cooldown,1,0.39
99,1.63,1298,3.36,80,1,1,ok,2,0.87
101,1.69,1492,2.99,80,1,0,cooldown,2,0.76
102,1.65,1292,2.40,80,1,1,ok,2,0.71
105,2.24,1392,3.45,70,1,0,monotony,2,0.86
106,2.02,1194,2.45,70,1,0,monotony,1,0.89
108,1.47,1492,3.67,80,1,0,monotony,2,0.68
110,1.76,1295,2.14,80,1,1,ok,2,0.84
112,1.18,999,3.37,65,1,0,cooldown,1,0.59
113,2.10,796,2.90,60,1,1,ok,1,0.58
115,1.55,1989,5.67,80,1,0,cooldown,2,0.61
116,1.53,1195,2.85,80,1,1,ok,2,0.72
118,1.24,895,2.48,65,1,0,cooldown,2,0.74
119,2.65,596,2.36,50,1,0,cooldown,1,0.59
121,1.49,1293,2.77,80,1,1,ok,2,0.85
122,1.91,1293,2.20,70,1,0,cooldown,2,0.75
124,1.56,1293,2.64,80,1,1,ok,2,0.61
126,1.24,1393,3.29,80,1,0,monotony,2,0.61
128,1.69,1193,3.88,80,1,1,ok,2,0.73
130,1.24,1293,2.42,65,1,0,monotony,2,0.94
131,1.62,1095,1.90,80,1,1,ok,2,0.95
133,1.70,1591,2.75,80,1,0,cooldown,2,0.74
135,1.50,1391,2.35,80,1,1,ok,2,0.75
137,1.81,1591,3.91,70,1,0,cooldown,2,0.79
139,1.59,1591,2.68,80,1,0,monotony,2,0.78
140,2.06,1094,3.40,70,1,1,ok,1,0.68
142,2.02,1292,2.67,70,1,0,cooldown,2,0.90
144,2.13,1591,2.46,70,1,1,ok,2,0.77
145,1.68,1492,2.91,80,1,0,cooldown,2,0.94
147,1.57,1292,2.50,80,1,0,monotony,2,0.81
149,1.42,1193,3.46,80,1,1,ok,2,0.73
151,1.68,1392,2.38,80,1,0,monotony,1,0.74
153,1.39,995,2.60,80,1,0,monotony,1,0.70
155,1.64,1591,2.36,80,1,1,ok,2,0.43
157,1.33,1194,2.88,80,1,0,cooldown,2,0.48
159,1.36,597,2.76,70,1,1,ok,1,0.85
160,1.38,1194,2.33,80,1,0,cooldown,2,0.84
161,1.12,597,2.61,0,0,0,settling,1,0.66
164,1.56,2586,3.28,0,0,0,rhythmic,4,1.03
167,2.15,2585,2.85,0,0,0,rhythmic,3,0.82
168,1.46,1094,3.29,80,1,0,walkctx,2,0.88
169,1.15,596,1.20,0,0,0,lowrot,1,0.47
170,1.48,1096,3.03,80,1,1,ok,2,0.41
172,1.31,1194,2.24,80,1,0,monotony,2,0.65
174,1.32,994,2.02,80,1,0,monotony,1,0.75
175,1.29,596,2.61,70,1,1,ok,1,0.74
177,1.43,1690,2.86,80,1,0,cooldown,2,0.68
179,1.32,1293,2.54,80,1,1,ok,1,0.71
181,1.48,1387,1.97,80,1,0,cooldown,2,0.69
182,2.18,1391,2.38,70,1,0,monotony,2,0.75
184,1.55,1194,3.29,80,1,0,monotony,1,0.64
186,1.56,1393,3.53,80,1,1,ok,1,0.96
188,1.51,1293,3.26,80,1,0,monotony,2,0.63
190,1.40,1492,2.47,80,1,0,monotony,2,0.67
192,1.48,1284,2.26,80,1,0,monotony,2,0.81
193,1.73,1493,2.22,80,1,0,monotony,2,0.43
195,1.53,1392,2.62,80,1,0,monotony,2,0.72
197,1.80,1492,2.76,70,1,0,monotony,2,0.87
198,1.65,1393,2.13,80,1,0,monotony,2,1.04
200,1.28,603,4.60,70,1,1,ok,1,0.72
201,1.55,794,1.54,70,1,0,cooldown,1,0.74
202,1.98,1293,2.47,70,1,1,ok,2,0.69
204,1.89,1290,1.95,70,1,0,cooldown,2,0.65
205,1.21,597,2.85,70,1,1,ok,1,0.87
206,1.39,597,1.35,0,0,0,lowrot,1,0.70
208,1.55,1293,2.25,80,1,1,ok,2,0.55
210,1.42,1492,1.95,80,1,0,cooldown,2,0.67
212,1.74,1392,2.12,80,1,1,ok,1,0.68
213,1.21,596,1.46,0,0,0,lowrot,1,0.64
214,1.25,505,1.94,70,1,0,cooldown,1,0.79
216,1.59,1890,3.00,80,1,1,ok,2,0.57
218,1.36,1393,3.42,80,1,0,cooldown,2,0.64
219,1.35,796,2.35,70,1,1,ok,1,0.45
220,1.34,597,1.27,0,0,0,lowrot,1,0.03
222,1.35,1293,3.04,80,1,1,ok,2,0.58
224,1.20,697,2.00,55,1,0,cooldown,1,0.62
225,2.47,596,3.67,60,1,1,ok,1,0.44
226,1.36,1094,2.58,80,1,0,cooldown,2,0.62
228,1.40,1393,2.48,80,1,1,ok,2,0.63
230,1.23,995,3.40,65,1,0,cooldown,1,0.42
231,1.31,598,1.46,0,0,0,lowrot,1,0.42
233,1.30,1193,2.85,80,1,0,monotony,2,0.54
234,1.26,597,2.38,70,1,1,ok,1,0.67
235,1.13,597,1.42,0,0,0,lowrot,1,0.67
237,1.31,1492,2.77,80,1,1,ok,2,0.73
239,1.21,1194,3.16,80,1,0,cooldown,1,0.50
241,1.23,1193,1.56,65,1,1,ok,2,0.32
