t,peak,dur,gyro,conf,accepted,counted,reason,peaks,speed
220,3.48,1492,5.91,60,1,1,ok,2,0.78
223,4.11,2586,4.69,0,0,0,rhythmic,3,1.30
225,2.63,2188,6.48,0,0,0,rhythmic,3,1.19
229,2.40,2586,6.02,0,0,0,rhythmic,3,0.80
230,3.61,895,4.83,0,0,0,peakhigh,1,1.16
232,2.27,2586,4.90,0,0,0,rhythmic,4,1.19
235,2.77,2288,7.15,60,1,0,walkctx,2,0.85
237,1.84,2585,3.72,0,0,0,rhythmic,3,1.13
238,1.32,697,4.53,70,1,0,walkctx,1,0.92
240,1.44,1194,6.12,80,1,0,walkctx,2,0.54
242,1.66,2487,7.56,0,0,0,rhythmic,3,0.82
244,1.77,1094,4.85,80,1,0,walkctx,1,1.17
